Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
22 May 2020 ; Amazon FX Rate £1 = €1.1222 ; 11.70 ;  ;  EUR 13.12 ;  ; 258.94; Shopping; 
19 May 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 270.64; Shopping; 
19 May 2020 ; Amazon FX Rate £1 = €1.1116 ; 21.43 ;  ;  EUR 23.82 ;  ; 271.43; Shopping; 
19 May 2020 ; Amazon FX Rate £1 = €1.1131 ; 7.18 ;  ;  EUR 7.99 ;  ; 292.86; Shopping; 
19 May 2020 ; Amazon  ; 12.99 ;  ;  ;  ; 300.04; Shopping; 
18 May 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 313.03; Shopping; 
18 May 2020 ; Amazon FX Rate £1 = €1.1131 ; 13.75 ;  ;  EUR 15.30 ;  ; 321.02; Shopping; 
17 May 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 334.77; Shopping; 
17 May 2020 ; Amazon FX Rate £1 = €1.1289 ; 80.76 ;  ;  EUR 91.17 ;  ; 348.76; Shopping; 
17 May 2020 ; Amazon FX Rate £1 = €1.1293 ; 17.38 ;  ;  EUR 19.62 ;  ; 429.52; Shopping; 
17 May 2020 ; Amazon FX Rate £1 = €1.1325 ; 4.41 ;  ;  EUR 4.99 ;  ; 446.90; Shopping; 
14 May 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 451.31; General; 
13 May 2020 ; Amazon FX Rate £1 = €1.1387 ; 21.71 ;  ;  EUR 24.72 ;  ; 51.31; Shopping; 
13 May 2020 ; Amazon  ; 1.36 ;  ;  ;  ; 73.02; Shopping; 
12 May 2020 ; Amazon FX Rate £1 = €1.1380 ; 54.75 ;  ;  EUR 62.30 ;  ; 74.38; Shopping; 
10 May 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 129.13; Shopping; 
10 May 2020 ; Amazon FX Rate £1 = €1.1431 ; 24.20 ;  ;  EUR 27.66 ;  ; 139.12; Shopping; 
7 May 2020 ; Amazon FX Rate £1 = €1.1323 ; 21.18 ;  ;  EUR 23.98 ;  ; 163.32; Shopping; 
7 May 2020 ; Amazon FX Rate £1 = €1.1323 ; 21.18 ;  ;  EUR 23.98 ;  ; 184.50; Shopping; 
6 May 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 205.68; Shopping; 
5 May 2020 ; 1854 Media Bjp  ; 1.00 ;  ;  ;  ; 211.67; Shopping; 
4 May 2020 ; Amazon FX Rate £1 = €1.1440 ; 12.26 ;  ;  EUR 14.02 ;  ; 212.67; Shopping; 
2 May 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 224.93; General; 
30 Apr 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 24.93; Shopping; 
29 Apr 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 32.92; Shopping; 
28 Apr 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 46.91; Shopping; 
27 Apr 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 54.90; General; 
26 Apr 2020 ; Amazon FX Rate £1 = €1.1459 ; 20.79 ;  ;  EUR 23.82 ;  ; 69.89; Shopping; 
26 Apr 2020 ; Amazon  ; 4.49 ;  ;  ;  ; 90.68; Shopping; 
25 Apr 2020 ; Bbdb Studio Store FX Rate £1 = €1.1437 ; 13.56 ;  ;  EUR 15.50 ;  ; 95.17; Services; 
21 Apr 2020 ; Itunes  ; 2.49 ;  ;  ;  ; 108.73; Shopping; 
21 Apr 2020 ; Itunes  ; 7.50 ;  ;  ;  ; 111.22; Shopping; 
20 Apr 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 118.72; Shopping; 
19 Apr 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 119.51; Shopping; 
15 Apr 2020 ; Amazon FX Rate £1 = €1.1405 ; 126.24 ;  ;  EUR 143.98 ;  ; 133.50; Shopping; 
14 Apr 2020 ; Aldi FX Rate £1 = €1.1319 ; 103.19 ;  ;  EUR 116.80 ;  ; 259.74; Groceries; 
14 Apr 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 362.93; Shopping; 
12 Apr 2020 ; Three  ; 15.00 ;  ;  ;  ; 372.92; Services; 
11 Apr 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 387.92; General; 
7 Apr 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 187.92; Shopping; 
6 Apr 2020 ; Amazon FX Rate £1 = €1.1290 ; 80.78 ;  ;  EUR 91.20 ;  ; 197.91; Shopping; 
6 Apr 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 278.69; Shopping; 
5 Apr 2020 ; Amazon FX Rate £1 = €1.1227 ; 13.61 ;  ;  EUR 15.28 ;  ; 322.54; Shopping; 
5 Apr 2020 ; Amazon FX Rate £1 = €1.1423 ; 74.40 ;  ;  EUR 84.99 ;  ; 336.15; Shopping; 
4 Apr 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 410.55; General; 
3 Apr 2020 ; Amazon FX Rate £1 = €1.1327 ; 5.29 ;  ;  EUR 5.99 ;  ; 210.55; Shopping; 
2 Apr 2020 ; Amazon FX Rate £1 = €1.1229 ; 7.11 ;  ;  EUR 7.98 ;  ; 236.60; Shopping; 
2 Apr 2020 ; Amazon FX Rate £1 = €1.1240 ; 57.80 ;  ;  EUR 64.97 ;  ; 243.71; Shopping; 
1 Apr 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 301.51; General; 
